A	PROTO-CUNEIFORM SIGN A
ZATU723	PROTO-CUNEIFORM SIGN ZATU723
ZATU724	PROTO-CUNEIFORM SIGN ZATU724
ZATU725	PROTO-CUNEIFORM SIGN ZATU725
ZATU725~v1	PROTO-CUNEIFORM SIGN ZATU725 VARIANT 1
ZATU726~a	PROTO-CUNEIFORM SIGN ZATU726-A
ZATU726~c	PROTO-CUNEIFORM SIGN ZATU726-C
ZATU726~d	PROTO-CUNEIFORM SIGN ZATU726-D
ZATU727	PROTO-CUNEIFORM SIGN ZATU727
ZATU728	PROTO-CUNEIFORM SIGN ZATU728
ZATU729	PROTO-CUNEIFORM SIGN ZATU729
ZATU729~v1	PROTO-CUNEIFORM SIGN ZATU729 VARIANT 1
ZATU730	PROTO-CUNEIFORM SIGN ZATU730
ZATU732	PROTO-CUNEIFORM SIGN ZATU732
ZATU733	PROTO-CUNEIFORM SIGN ZATU733
ZATU734	PROTO-CUNEIFORM SIGN ZATU734
ZATU735~a	PROTO-CUNEIFORM SIGN ZATU735-A
ZATU735~b	PROTO-CUNEIFORM SIGN ZATU735-B
ZATU735~b~v1	PROTO-CUNEIFORM SIGN ZATU735-B VARIANT 1
ZATU735~b~v2	PROTO-CUNEIFORM SIGN ZATU735-B VARIANT 2
ZATU735~c	PROTO-CUNEIFORM SIGN ZATU735-C
ZATU736~a	PROTO-CUNEIFORM SIGN ZATU736-A
ZATU736~b	PROTO-CUNEIFORM SIGN ZATU736-B
ZATU737	PROTO-CUNEIFORM SIGN ZATU737
ZATU737~v1	PROTO-CUNEIFORM SIGN ZATU737 VARIANT 1
ZATU737~v2	PROTO-CUNEIFORM SIGN ZATU737 VARIANT 2
|ZATU737×AB~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES AB-A
|ZATU737×BU~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES BU-A
|ZATU737×BUR~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES BUR-A
|ZATU737×DI|	PROTO-CUNEIFORM SIGN ZATU737 TIMES DI
|ZATU737~v2×DI|	PROTO-CUNEIFORM SIGN ZATU737 VARIANT 2 TIMES DI
|ZATU737×E~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES E-A
|ZATU737×EN~a~v2|	PROTO-CUNEIFORM SIGN ZATU737 TIMES EN-A VARIANT 2
|ZATU737~v1×EN~b~v1|	PROTO-CUNEIFORM SIGN ZATU737 VARIANT 1 TIMES EN-B VARIANT 1
|ZATU737×GAR|	PROTO-CUNEIFORM SIGN ZATU737 TIMES GAR
|ZATU737~v1×GAR|	PROTO-CUNEIFORM SIGN ZATU737 VARIANT 1 TIMES GAR
|ZATU737×NI~a@g|	PROTO-CUNEIFORM SIGN ZATU737 TIMES NI-A GUNU
|ZATU737×NIMGIR|	PROTO-CUNEIFORM SIGN ZATU737 TIMES NIMGIR
|ZATU737×SU~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SU-A
|ZATU737×ŠE~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SHE-A
|ZATU737×ŠITA~a1|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SHITA-A1
|ZATU737×ŠITA@g~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SHITA GUNU-A
|ZATU737×UNUG~a~v1|	PROTO-CUNEIFORM SIGN ZATU737 TIMES UNUG-A VARIANT 1
|ZATU737~v2×X|	PROTO-CUNEIFORM SIGN ZATU737 VARIANT 2 TIMES X
|ZATU737~v3×SAL|	PROTO-CUNEIFORM SIGN ZATU737 VARIANT 3 TIMES SAL
|ZATU737~v3×U₄|	PROTO-CUNEIFORM SIGN ZATU737 VARIANT 3 TIMES U4
ZATU749~a	PROTO-CUNEIFORM SIGN ZATU749-A
ZATU749~a~v1	PROTO-CUNEIFORM SIGN ZATU749-A VARIANT 1
ZATU749~a~v2	PROTO-CUNEIFORM SIGN ZATU749-A VARIANT 2
ZATU749~b	PROTO-CUNEIFORM SIGN ZATU749-B
ZATU749~c	PROTO-CUNEIFORM SIGN ZATU749-C
ZATU750	PROTO-CUNEIFORM SIGN ZATU750
ZATU750~v1	PROTO-CUNEIFORM SIGN ZATU750 VARIANT 1
ZATU750~v2	PROTO-CUNEIFORM SIGN ZATU750 VARIANT 2
ZATU750~v3	PROTO-CUNEIFORM SIGN ZATU750 VARIANT 3
ZATU751~a	PROTO-CUNEIFORM SIGN ZATU751-A
ZATU751~b	PROTO-CUNEIFORM SIGN ZATU751-B
ZATU752	PROTO-CUNEIFORM SIGN ZATU752
ZATU752~v1	PROTO-CUNEIFORM SIGN ZATU752 VARIANT 1
ZATU753	PROTO-CUNEIFORM SIGN ZATU753
ZATU754	PROTO-CUNEIFORM SIGN ZATU754
ZATU755~a	PROTO-CUNEIFORM SIGN ZATU755-A
ZATU755~b	PROTO-CUNEIFORM SIGN ZATU755-B
ZATU756	PROTO-CUNEIFORM SIGN ZATU756
ZATU756~v1	PROTO-CUNEIFORM SIGN ZATU756 VARIANT 1
ZATU757	PROTO-CUNEIFORM SIGN ZATU757
ZATU757~v1	PROTO-CUNEIFORM SIGN ZATU757 VARIANT 1
ZATU758	PROTO-CUNEIFORM SIGN ZATU758
ZATU759	PROTO-CUNEIFORM SIGN ZATU759
ZATU759~v1	PROTO-CUNEIFORM SIGN ZATU759 VARIANT 1
|ZATU759×KU₆~a|	PROTO-CUNEIFORM SIGN ZATU759 TIMES KU6-A
|ZATU759×KU₆~d|	PROTO-CUNEIFORM SIGN ZATU759 TIMES KU6-D
|ZATU759×(KU₆~a+KU₆~a)|	PROTO-CUNEIFORM SIGN ZATU759 TIMES KU6-A JOINING KU6-A
|ZATU759×X|	PROTO-CUNEIFORM SIGN ZATU759 TIMES X
|ZATU759@t×X|	PROTO-CUNEIFORM SIGN ZATU759 TENU TIMES X
ZATU761	PROTO-CUNEIFORM SIGN ZATU761
ZATU762~a	PROTO-CUNEIFORM SIGN ZATU762-A
ZATU762~a~v1	PROTO-CUNEIFORM SIGN ZATU762-A VARIANT 1
ZATU762~a~v2	PROTO-CUNEIFORM SIGN ZATU762-A VARIANT 2
ZATU762~b	PROTO-CUNEIFORM SIGN ZATU762-B
|ZATU762~b×AB~a|	PROTO-CUNEIFORM SIGN ZATU762-B TIMES AB-A
|ZATU762~a×NIM~a|	PROTO-CUNEIFORM SIGN ZATU762-A TIMES NIM-A
ZATU764	PROTO-CUNEIFORM SIGN ZATU764
ZATU765	PROTO-CUNEIFORM SIGN ZATU765
ZATU766	PROTO-CUNEIFORM SIGN ZATU766
ZATU767	PROTO-CUNEIFORM SIGN ZATU767
ZATU768	PROTO-CUNEIFORM SIGN ZATU768
ZATU769	PROTO-CUNEIFORM SIGN ZATU769
ZATU771	PROTO-CUNEIFORM SIGN ZATU771
ZATU772	PROTO-CUNEIFORM SIGN ZATU772
ZATU773~a	PROTO-CUNEIFORM SIGN ZATU773-A
ZATU773~a~v1	PROTO-CUNEIFORM SIGN ZATU773-A VARIANT 1
ZATU773~b	PROTO-CUNEIFORM SIGN ZATU773-B
ZATU774	PROTO-CUNEIFORM SIGN ZATU774
ZATU775	PROTO-CUNEIFORM SIGN ZATU775
ZATU776	PROTO-CUNEIFORM SIGN ZATU776
ZATU776~v1	PROTO-CUNEIFORM SIGN ZATU776 VARIANT 1
ZATU777	PROTO-CUNEIFORM SIGN ZATU777
ZATU777~v1	PROTO-CUNEIFORM SIGN ZATU777 VARIANT 1
ZATU777~v2	PROTO-CUNEIFORM SIGN ZATU777 VARIANT 2
ZATU778	PROTO-CUNEIFORM SIGN ZATU778
ZATU779	PROTO-CUNEIFORM SIGN ZATU779
ZATU780	PROTO-CUNEIFORM SIGN ZATU780
ZATU781	PROTO-CUNEIFORM SIGN ZATU781
ZATU782	PROTO-CUNEIFORM SIGN ZATU782
ZATU783	PROTO-CUNEIFORM SIGN ZATU783
ZATU784	PROTO-CUNEIFORM SIGN ZATU784
ZATU785	PROTO-CUNEIFORM SIGN ZATU785
ZATU786	PROTO-CUNEIFORM SIGN ZATU786
ZATU787	PROTO-CUNEIFORM SIGN ZATU787
ZATU788	PROTO-CUNEIFORM SIGN ZATU788
ZATU789	PROTO-CUNEIFORM SIGN ZATU789
ZATU791	PROTO-CUNEIFORM SIGN ZATU791
ZATU792	PROTO-CUNEIFORM SIGN ZATU792
ZATU795	PROTO-CUNEIFORM SIGN ZATU795
ZATU797	PROTO-CUNEIFORM SIGN ZATU797
ZATU798	PROTO-CUNEIFORM SIGN ZATU798
ZATU799	PROTO-CUNEIFORM SIGN ZATU799
ZATU800	PROTO-CUNEIFORM SIGN ZATU800
ZATU801	PROTO-CUNEIFORM SIGN ZATU801
ZATU802	PROTO-CUNEIFORM SIGN ZATU802
ZATU803	PROTO-CUNEIFORM SIGN ZATU803
ZATU804	PROTO-CUNEIFORM SIGN ZATU804
ZATU805	PROTO-CUNEIFORM SIGN ZATU805
ZATU806	PROTO-CUNEIFORM SIGN ZATU806
ZATU807	PROTO-CUNEIFORM SIGN ZATU807
ZATU808	PROTO-CUNEIFORM SIGN ZATU808
ZATU809	PROTO-CUNEIFORM SIGN ZATU809
ZATU810	PROTO-CUNEIFORM SIGN ZATU810
ZATU811	PROTO-CUNEIFORM SIGN ZATU811
ZATU812	PROTO-CUNEIFORM SIGN ZATU812
ZATU813	PROTO-CUNEIFORM SIGN ZATU813
ZATU814	PROTO-CUNEIFORM SIGN ZATU814
ZATU815	PROTO-CUNEIFORM SIGN ZATU815
ZATU817	PROTO-CUNEIFORM SIGN ZATU817
ZATU818	PROTO-CUNEIFORM SIGN ZATU818
ZATU819	PROTO-CUNEIFORM SIGN ZATU819
ZATU820	PROTO-CUNEIFORM SIGN ZATU820
ZATU821	PROTO-CUNEIFORM SIGN ZATU821
ZATU822	PROTO-CUNEIFORM SIGN ZATU822
ZATU823	PROTO-CUNEIFORM SIGN ZATU823
ZATU824	PROTO-CUNEIFORM SIGN ZATU824
ZATU825	PROTO-CUNEIFORM SIGN ZATU825
ZATU826	PROTO-CUNEIFORM SIGN ZATU826
ZATU829	PROTO-CUNEIFORM SIGN ZATU829
ZATU831	PROTO-CUNEIFORM SIGN ZATU831
ZATU831@g	PROTO-CUNEIFORM SIGN ZATU831 GUNU
ZATU832	PROTO-CUNEIFORM SIGN ZATU832
ZATU833	PROTO-CUNEIFORM SIGN ZATU833
ZATU834	PROTO-CUNEIFORM SIGN ZATU834
ZATU835	PROTO-CUNEIFORM SIGN ZATU835
ZATU836	PROTO-CUNEIFORM SIGN ZATU836
ZATU837~a	PROTO-CUNEIFORM SIGN ZATU837-A
ZATU837~b	PROTO-CUNEIFORM SIGN ZATU837-B
ZATU838	PROTO-CUNEIFORM SIGN ZATU838
ZATU839	PROTO-CUNEIFORM SIGN ZATU839
ZATU839~v1	PROTO-CUNEIFORM SIGN ZATU839 VARIANT 1
ZATU840	PROTO-CUNEIFORM SIGN ZATU840
ZATU841	PROTO-CUNEIFORM SIGN ZATU841
ZATU842	PROTO-CUNEIFORM SIGN ZATU842
ZATU843	PROTO-CUNEIFORM SIGN ZATU843
ZATU844	PROTO-CUNEIFORM SIGN ZATU844
ZATU845	PROTO-CUNEIFORM SIGN ZATU845
ZATU846	PROTO-CUNEIFORM SIGN ZATU846
ZATU847	PROTO-CUNEIFORM SIGN ZATU847
ZATU848	PROTO-CUNEIFORM SIGN ZATU848
ZATU849	PROTO-CUNEIFORM SIGN ZATU849
ZATU850	PROTO-CUNEIFORM SIGN ZATU850
ZATU851	PROTO-CUNEIFORM SIGN ZATU851
ZATU852	PROTO-CUNEIFORM SIGN ZATU852
ZATU853	PROTO-CUNEIFORM SIGN ZATU853
ZATU854	PROTO-CUNEIFORM SIGN ZATU854
ZATU855	PROTO-CUNEIFORM SIGN ZATU855
ZATU856	PROTO-CUNEIFORM SIGN ZATU856
ZATU857	PROTO-CUNEIFORM SIGN ZATU857
ZATU858	PROTO-CUNEIFORM SIGN ZATU858
ZATU859	PROTO-CUNEIFORM SIGN ZATU859
ZI~a	PROTO-CUNEIFORM SIGN ZI-A
ZI~a~v1	PROTO-CUNEIFORM SIGN ZI-A VARIANT 1
ZI~b	PROTO-CUNEIFORM SIGN ZI-B
ZI~d	PROTO-CUNEIFORM SIGN ZI-D
|(ZU&ZU).SAR~a|	PROTO-CUNEIFORM SIGN ZU OVER ZU BESIDE SAR-A
ZUBI~a	PROTO-CUNEIFORM SIGN ZUBI-A
ZUBI~b	PROTO-CUNEIFORM SIGN ZUBI-B
|1(N02).RU|	PROTO-CUNEIFORM SIGN ONE-N2 BESIDE RU
|1(N08@f)×1(N57)|	PROTO-CUNEIFORM SIGN ONE-N8 FLAT TIMES ONE-N57
|1(N34)×1(N58)|	PROTO-CUNEIFORM SIGN ONE-N34 TIMES ONE-N58
|1(N57).AB₂|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE AB2
|1(N57).1(N57)|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE ONE-N57
|1(N57).ŠAH₂~a|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SHAH2-A
|1(N57).ŠUBUR|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SHUBUR
|1(N57).ŠUBUR~v1|	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SHUBUR VARIANT 1
|2(N57).AB₂|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE AB2
|2(N57).KU₆~a|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE KU6-A
|2(N57).SU~a|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE SU-A
|2(N57).ŠUBUR|	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE SHUBUR
|3(N57).AMAR|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE AMAR
|3(N57).BARA₃|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE BARA3
|3(N57).E₂~b|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE E2-B
|3(N57).GAR|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE GAR
|3(N57).NUNUZ~a1|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE NUNUZ-A1
|3(N57).NUNUZ~c|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE NUNUZ-C
|3(N57).PIRIG~b1|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE PIRIG-B1
|3(N57).ŠUBUR|	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE SHUBUR
|4(N57).AMAR|	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE AMAR
|4(N57).GAR|	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE GAR
|4(N57).KU₃~a|	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE KU3-A
|4(N57).NI~b|	PROTO-CUNEIFORM SIGN FOUR-N57 BESIDE NI-B
|5(N57).GAR|	PROTO-CUNEIFORM SIGN FIVE-N57 BESIDE GAR
|5(N57).KU₃~a|	PROTO-CUNEIFORM SIGN FIVE-N57 BESIDE KU3-A
|6(N57).GAR|	PROTO-CUNEIFORM SIGN SIX-N57 BESIDE GAR
|6(N57).KU₃~a|	PROTO-CUNEIFORM SIGN SIX-N57 BESIDE KU3-A
|8(N57).NI~b|	PROTO-CUNEIFORM SIGN EIGHT-N57 BESIDE NI-B
|1(N58).BAD|	PROTO-CUNEIFORM SIGN ONE-N58 BESIDE BAD
|1(N58)~a.BAD|	PROTO-CUNEIFORM SIGN ONE-N58-A BESIDE BAD
|1(N58)~a.BAD~a|	PROTO-CUNEIFORM SIGN ONE-N58-A BESIDE BAD-A
|3(N58).UR₃~b1|	PROTO-CUNEIFORM SIGN THREE-N58 BESIDE UR3-B1
